text	class	topic
You remind me of my BimmerSee your ignition  baby girl I m trying to key upAnd your head lights are off I m trying to see  em	0	Birth
RT @JaDineNATION: Were so excited for our deserving baby girl  #NadineLustre ! JaDines  please check out Vivas socmed accounts for deta	0	Birth
i always get super self conscious about keeping up with art specific spaces but hopefully twitter will be less pres https://t.co/7TZGSaI2i0	0	Birth
@Juhhhhhhnelle Weird ass bitch lucky Im pregnant i swear lmao wait till January	1	Birth
RT @thdmichaelbell: New Signage above our Front End Display at store 6551Right at the checkout Registers !!! Awesome Awareness Baby!! @De	0	Birth
NEW SUPER BABY 2 SCAN AND TRANSLATION AND NEW SKILLS Dragon Ball Xenoverse 2: https://t.co/c5NFObP7Ty via @YouTube	0	Birth
RT @Prof_Hariom: @OmarAbdullah Throw out of Bharat this UK-born @OmarAbdullah  to Islamic Republic of Pakistan created exclusively for peac	0	Birth
RT @dre85567034: Mmm...Busty Preggos Yummy! Part; #hot #young #preggo #cutie #gorgeous #pregnant #body #yummy #embarazada #titties #boo	0	Birth
baby girl you re a star	0	Birth
RT @DDuaneOfficial: Glad I was able to speak with @ChillOutAlyssa tonight leading into her 25th birthday - Thats my baby right there 	0	Birth
Hey baby girl @xxmariejoyxx  HAPPY BIRTHDAY  smh	0	Birth
@Clarissag_08 Take postnatal pills!! Taking prenatal pills after you have the baby increases your chance of getting https://t.co/CdxfxKAvZO	0	Birth
RT @brii_santiagox3: shorty shortyyy baby girl you look so fineeee https://t.co/Rw0GAxdkdO	0	Birth
After Ebola  I have been blessed with a baby girl Survivor https://t.co/NHLUtuod1a	1	Birth
 MOOD AF. https://t.co/njByFmEGVA	0	Birth
@MWBoJr @Danadug @DrChrisMetzler @justinbaragona parent. So if sleeping with my husband  happily  got pregnant with https://t.co/h5LRgKGD7p	1	Birth
I should probably quit comedy.  I m pregnant. @ https://t.co/I1Ii6o22vx	1	Birth
@malina_mack Be a lone wolf baby  Im in it right now I broke off with all my friends and Im doing me and getting https://t.co/lCis5tIHGw	0	Birth
RT @KTRTRS: Will assist the little girl @KTRoffice to contact https://t.co/dSluZLMC4a	0	Birth
It s too much pressure and disappointment with the baby conceiving process to be constantly asked are we pregnant y https://t.co/sk4UlFuaPm	1	Birth
Hey baby girl @xxmariejoyxx HAPPY BIRTHDAY  sml	0	Birth
RT @animalIife: Cat finds out she s pregnant https://t.co/HvotsRW6Jx	0	Birth
RT @ccourt_22: I swear nothing pisses me off more than to see a pregnant woman smoking	0	Birth
RT @MarleeMatlin: I m proud to announce that  Deaf Out Loud  a documentary pilot I produced with @BunimMurray about three different deaf fa	0	Birth
RT @daeguyoongi93: run bts ep. 37 summary:seokjin loves teasing taehyung. jimin is a petty baby boy but also a sweetheart. jeongguk is an	0	Birth
After Ebola  I have been blessed with a baby girl Survivor https://t.co/3CAK0HedPe	0	Birth
Are the babies that were nursing eating AT ALL? https://t.co/reEhRaxOB1	0	Birth
RT @archive97s: the cutest baby girl https://t.co/e1zdyAAY2Y	0	Birth
ik i be saying i want kids and stuff but if i found out i was pregnant rn id drop dead 	0	Birth
RT @lilbleach666: I miss my baby girl	0	Birth
oof  i like this a lot but i couldn t really explain why. it s just fun! while i m getting exhausted with Drake hav https://t.co/gY5Cl5NT8R	0	Birth
@Jaden_Monay I feel like youve been pregnant for forever!! Lol	0	Birth
https://t.co/ufbHklkZw2 #SuperDeals Latest new 58cm Silicone Reborn Baby Dolls Boneca Reborn Realista Fashion Dolls https://t.co/UYJOT2jJDu	0	Birth
RT @snakepixel: I m always expecting that with the constant demand for more detail  Nintendo will end up over rendering their characters. A	0	Birth
@vline_geelong Take leave from work to get an early train home for an appointment with the pregnant wife  could I r https://t.co/BZuLQ1J1UY	1	Birth
@NewYork_Minutee @plum__berry Its 1:17   Im still up and Im not pregnant.	0	Birth
@RachelleSwannie Darn it ! Lol I wanted to re watch you finding out you re pregnant. It s so sweet ! 	0	Birth
@Hi_Goldenness Ily a lot baby boy	0	Birth
&amp; forever stalk me from somebody else stuff  but yessss https://t.co/Xe6vzeQP8a	0	Birth
@rxsujeong So u gonna call me tht? Awh hello baby girl	0	Birth
RT @TheMilannsDiary: I needed one thing on my life. And it s him.And I might see my baby boy in 2 months... I really want to cry every tea	0	Birth
Big things happening in Australia. https://t.co/ZaGdjYT05l	0	Birth
RT @Thuli_P: Focus on yourself baby girl.	0	Birth
baby girl gon suck it till her jaws locked	0	Birth
RT @cherryredpop_: Chris Martin is lucky dude... Look how sexy baby girl looks..  https://t.co/6RufMIfpSZ	0	Birth
RT @cnvrsejoon94: what I learned from tonights run episode : -Hoseok would make a great murderer-Taehyung is an unloyal hoe and could pl	0	Birth
Get your wife pregnant. @BoazRukin	0	Birth
Slight turn up for my baby girl  https://t.co/cQLcCYVdKG	0	Birth
@rinko_ebooks Shirokane-san I m expecting you to do the right thing.	0	Birth
@zachheltzel Welcome? She has been a member from the beginning	0	Birth
@ItsMayybee How very awesome baby girl! :) &lt;3	0	Birth
RT @yepitstrey: Her sister finally drank after being pregnant for 9 months and this is what happened Im crying  https://t.co/3xuMLD049l	0	Birth
RT @PINKdot_COM: Jisel  youre my reason for living. Thank you baby girl. https://t.co/Y2dcOqPgW4	0	Birth
@kj_amplified But doors are wide open to Russia &amp; China  major uptick. Russian pregnant women going 2 Florida  stay https://t.co/Ye6W2eCsfC	0	Birth
just found out someone called my niece ugly because shes half white half mexican  let me just say my little baby i https://t.co/0b8zZM3cKQ	0	Birth
95 baby just trying to thrive. thanks for the new tunes @5SOS https://t.co/utwfmPDsZ9	0	Birth
I love you baby girl  https://t.co/AAgIdA3kex	0	Birth
RT @6abc: HELLO  BABY BEAU!! There is a very cute and very tall new baby at the zoo. Beau the giraffe made his debut Tuesday at the Philade	0	Birth
I love my baby girl with all my heart  #bf	0	Birth
Guys I found baby Thor pictures and I cant stop crying  MAH BABY BOY OMG https://t.co/xD46Epg9zv	0	Birth
I can t sleep. This entire thing is so upsetting. The little girl in this photo can t be much older than my baby. T https://t.co/2hXd7OTlrj	0	Birth
Big L on da head https://t.co/EB2gH3hQKf	0	Birth
RT @minpddaeng: Namjoon? My forever softest leader.Jin? My forever caring dad.Hoseok? My forever sunshine dance machine.Jungkook? My for	0	Birth
@ArianaGrande love you so much im so proud of you baby girl	0	Birth
RT @yoonmindotcom: namjoon s baby boy is park jimin dont @ me minjoon really out here with their cutest moments i love  https://t.co/fRGfg	0	Birth
@ArianaGrande love the new baby  cant wait for the rest 	0	Birth
im pregnant https://t.co/Ud0twfC1cR	1	Birth
RT @christianm611: this will always be my favorite pic of me and my girl and baby bro https://t.co/lIHywWQ6J5	0	Birth
RT @BriteandBubbly: Check Out How Im Keeping Our New Babys Skin Soft and Nourished This Summer thanks to Baby @Dove and their amazing lin	1	Birth
my girl&amp; our little dude have been the best thing thats happened to me in a long time. i have the best relationshi https://t.co/dLuACPCrjK	1	Birth
Happy Birthday Baby girl@__kaylarenaee	0	Birth
RT @namucIub: jimin: h-namjoon: i love you so much baby boy you re the cutest sweetest sexiest boy on earth im gonna love you with all my	0	Birth
My new phone number ends in 090198 hhhhh I WANTED 09-01-97 BUT IT WAS ALREADY TAKEN IM SO MAD :( jungkook baby I tr https://t.co/ZPe7t41vW1	0	Birth
@maddow No need to apologize for being human and having a moral core that hurts over what is being done in our name https://t.co/n860FJGmR6	0	Birth
@verity450 no you re not  cheer up baby girl	0	Birth
Officially ded. Oml https://t.co/2cvNTytvQd	0	Birth
Being pregnant is so weird  like.. does my stomach hurt hurt? Is it a cramp? Gas? The literally human sitting on my bladder? Who knows 	1	Birth
Being pregnant can be stressful at times pple dont need the extra stress added from others especially from fam..lol	1	Birth
Happy birthday to one of my favorite girls! I hope today treats ya good! Thanks for takin care of my boy  the baby  https://t.co/Cp4KGnZ8rA	0	Birth
